Found 1962 strings where colon position > 32

ACTIVITY_INFO        | ptbr  | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | ptbr  | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | ptbr  | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | ua    | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | ua    | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | ua    | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | ua    | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | ua    | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | zhcn  | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | zhcn  | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | zhcn  | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | zhcn  | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | zhcn  | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | zhtw  | colon at 33 (+ 1) | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | zhtw  | colon at 33 (+ 1) | Дата первого игрового события : {}...
ACTIVITY_INFO        | zhtw  | colon at 33 (+ 1) | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | zhtw  | colon at 33 (+ 1) | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | zhtw  | colon at 33 (+ 1) | Общее число игровых сессий    : {}...
AMS_INFO             | lv    | colon at 34 (+ 2) | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | be    | colon at 33 (+ 1) | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | be    | colon at 33 (+ 1) | Поколение ключа             : {}...
AMS_INFO             | be    | colon at 33 (+ 1) | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | be    | colon at 33 (+ 1) | Git commit hash             : {:016X}...
AMS_INFO             | be    | colon at 33 (+ 1) | Есть исправление RCM бага   : {}...
AMS_INFO             | be    | colon at 33 (+ 1) | Экзосфера очищает CAL0      : {}...
AMS_INFO             | be    | colon at 33 (+ 1) | Запись в CAL0 разрешена     : {}...
AMS_INFO             | be    | colon at 33 (+ 1) | Emummc включён              : {}...
AMS_INFO             | be    | colon at 33 (+ 1) | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | be    | colon at 33 (+ 1) | Поддерживаемая версия HOS   : {}...
AMS_INFO             | de    | colon at 33 (+ 1) | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | de    | colon at 33 (+ 1) | Поколение ключа             : {}...
AMS_INFO             | de    | colon at 33 (+ 1) | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | de    | colon at 33 (+ 1) | Git commit hash             : {:016X}...
AMS_INFO             | de    | colon at 33 (+ 1) | Есть исправление RCM бага   : {}...
AMS_INFO             | de    | colon at 33 (+ 1) | Экзосфера очищает CAL0      : {}...
AMS_INFO             | de    | colon at 33 (+ 1) | Запись в CAL0 разрешена     : {}...
AMS_INFO             | de    | colon at 33 (+ 1) | Emummc включён              : {}...
AMS_INFO             | de    | colon at 33 (+ 1) | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | de    | colon at 33 (+ 1) | Поддерживаемая версия HOS   : {}...
AMS_INFO             | en    | colon at 33 (+ 1) | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | en    | colon at 33 (+ 1) | Поколение ключа             : {}...
AMS_INFO             | en    | colon at 33 (+ 1) | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | en    | colon at 33 (+ 1) | Git commit hash             : {:016X}...
AMS_INFO             | en    | colon at 33 (+ 1) | Есть исправление RCM бага   : {}...
AMS_INFO             | en    | colon at 33 (+ 1) | Экзосфера очищает CAL0      : {}...
AMS_INFO             | en    | colon at 33 (+ 1) | Запись в CAL0 разрешена     : {}...
AMS_INFO             | en    | colon at 33 (+ 1) | Emummc включён              : {}...
AMS_INFO             | en    | colon at 33 (+ 1) | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | en    | colon at 33 (+ 1) | Поддерживаемая версия HOS   : {}...
AMS_INFO             | engb  | colon at 33 (+ 1) | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | engb  | colon at 33 (+ 1) | Поколение ключа             : {}...
